index,author,retweet,month,content,media type,group,chapter,group_fix
17829,enneeinaudi1,tweet,1,"Il bacio ad Adriana  #MattiaTW/14704NFP197  @TwLetteratura""""",NA,B,14,B
8486,biasona_1,tweet,12,"PerchË? Ma perchË non possiamo comprendere la vita, se in qualche modo non ci spieghiamo la morte!#MattiaTw/Capitolo10492CMD2812""""",NA,O2,10,NR
8475,biasona_1,tweet,12,"Le emozioni che un oggetto ci provoca, non si trovano nell'oggetto stesso.#MattiaTw/Capitolo9492CMD2812""""",NA,O2,9,NR
8476,biasona_1,tweet,12,"L'inverno m'ispirava pensieri malinconici, e pensando al Natale mi veniva tanta voglia di ritornare a casa.#MattiaTw/Capitolo9492CMD2812""""",NA,O2,9,NR
8477,biasona_1,tweet,12,"Ma la vita, a considerarla cosÏ, da spettatore estraneo, mi pareva inutile ed insignificante.#MattiaTw/Capitolo9492CMD2812""""",NA,O2,9,NR
8478,biasona_1,tweet,12,"Mi accorgevo che il mio animo per quanto si opponesse alla qualit‡ del colore del tempo, pur ne soffriva.#MattiaTw/Capitolo9492CMD2812""""",NA,O2,9,NR
8487,biasona_1,tweet,12,"Tutti noi lottiamo ogni giorno a finchË i nostri sentimenti si riflettano nella coscienza degli altri!#MattiaTw/Capitolo9492CMD2812""""",NA,O2,9,NR
13816,mery130415,tweet,11,"La scienza ha la capacit‡ di far illudere qualcuno che l'esistenza Ë bella.#MattiaTw/Capitolo9492CMI2211""""",NA,O2,9,NR
8480,biasona_1,tweet,11,"Mi sentivo sciolto dalla vita, sperduto, in attesa di vedere oltre la morte.#MattiaTw/Capitolo8492CMD2812""""",NA,O2,8,NR
8482,biasona_1,tweet,12,"Mi sentivo sperduto, sciolto dalla vita, in attesa di vedere oltre la morte.#MattiaTw/Capitolo8492CMD2812""""",NA,O2,8,NR
13814,mery130415,tweet,11,"Ed ecco qui c'era qualcosa che mi legava ancora al mio passato.#MattiaTw/Capitolo8492CMI2211""""",NA,O2,8,NR
13815,mery130415,tweet,11,"La fortuna mi aveva assecondato e tolto dalla vita comune dove gli altri si battevano ancora.#MattiaTw/Capitolo8492CMI2211""""",NA,O2,8,NR
8479,biasona_1,tweet,11,"Mi sentivo sciolto dalla vita, sperduto, in attesa di vedere oltre la morte.#MattiaTw/Capitolo7492CMD2812""""",NA,O2,8,NR
8481,biasona_1,tweet,12,"Mi sentivo sperduto, sciolto dalla vita, in attesa di vedere oltre la morte.#MattiaTw/Capitolo7492CMD2812""""",NA,O2,7,NR
15647,mscognamiglio54,retweet,11,"RT  @biasona_1: Mi sentivo sciolto dalla vita, sperduto, in attesa di vedere oltre la morte.""""#MattiaTw/Capitolo7492CMD2812""""",NA,O2,7,NR
8466,biasona_1,tweet,11,"?Gli infelici facilmente diventano superstiziosi, riponendo nella superstizione le loro speranze.?#MattiaTw/Capitolo6492CMD2812",NA,O2,6,NR
8470,biasona_1,tweet,11,"îùGli infelici diventano superstiziosi, deridendo gli altri e le speranze che ripongono nella superstizione.îù#MattiaTw/Capitolo6492CMD2812",NA,O2,6,NR
8471,biasona_1,tweet,11,"îùGli infelici facilmente diventano superstiziosi, riponendo nella superstizione le loro speranze.îù#MattiaTw/Capitolo6492CMD2812",NA,O2,6,NR
15639,mscognamiglio54,retweet,11,"RT  @biasona_1: ?Gli infelici facilmente diventano superstiziosi, riponendo nella superstizione le loro speranze.?#MattiaTw/Capitolo6492CMD2812",NA,O2,6,NR
15643,mscognamiglio54,retweet,11,"RT  @biasona_1: îùGli infelici facilmente diventano superstiziosi, riponendo nella superstizione le loro speranze.îù#MattiaTw/Capitolo6492CMÖ",NA,O2,6,NR
8469,biasona_1,tweet,11,"?Vedevo il mare, le onde lasciarsi andare a riva, la sabbia lÏ abbandonata...?#MattiaTw/Capitolo5492CMD2812",NA,O2,5,NR
8474,biasona_1,tweet,11,"îùVedevo il mare, le onde lasciarsi andare a riva, la sabbia l‡ abbandonata...îù#MattiaTw/Capitolo5492CMD2812",NA,O2,5,NR
13817,mery130415,tweet,11,"Lessi molti libri di filosofia che pesavano ma chi li legge vive nella fantasia.#MattiaTw/Capitolo5492CMI2211""""",NA,O2,5,NR
15642,mscognamiglio54,retweet,11,"RT  @biasona_1: ?Vedevo il mare, le onde lasciarsi andare a riva, la sabbia lÏ abbandonata...?#MattiaTw/Capitolo5492CMD2812",NA,O2,5,NR
15646,mscognamiglio54,retweet,11,"RT  @biasona_1: îùVedevo il mare, le onde lasciarsi andare a riva, la sabbia lÏ abbandonata...îù#MattiaTw/Capitolo5492CMD2812",NA,O2,5,NR
8031,ac_quinta,tweet,11,#MattiaTw/5053AAA1111 https://t.co/a494p6V0SD,NA,O2,5,B
8311,AnnaEsp100202,tweet,11,"Le nostre ormai sono solo inuti storie#MattiaTw/Capitolo2492CAE102""""",NA,O2,2,NR
8312,AnnaEsp100202,tweet,11,"Non mi sembra il momento, questo, di scrivere libri nemmeno per scherzo #MattiaTw/capitolo2492CAE102""""",NA,O2,2,NR
8467,biasona_1,tweet,11,?L'uomo si distrae facilmente...?#MattiaTw/Capitolo2492CMD2812,NA,O2,2,NR
8468,biasona_1,tweet,11,"?Oramai tutti noi ci siamo rassegnati all'idea della nostra inutilit‡, a valutarci niente nell'Universo.?#MattiaTw/Capitolo2492CMD2812",NA,O2,2,NR
8472,biasona_1,tweet,11,îùL'uomo si distrae facilmente...îù#MattiaTw/Capitolo2492CMD2812,NA,O2,2,NR
8473,biasona_1,tweet,11,"îùOramai tutti noi ci siamo rassegnati all'idea della nostra inutilit‡, a valutarci niente nell'Universo.îù#MattiaTw/Capitolo2492CMD2812",NA,O2,2,NR
8483,biasona_1,tweet,11,"Non Ë pi˘ tempo di scriver libri, neanche per scherzo. Come sempre devo ripetere: Mannaggia a te Copernico!#MattiaTw/Capitolo2492CMD2812""""",NA,O2,2,NR
