index,mentions
13192,_abbyz_
13193,_abbyz_
17845,_asiazannotti_
17846,_asiazannotti_
961,_De_Giglina_
2,_francescafusco
28,_francescafusco
29,_francescafusco
1250,_francescafusco
1251,_francescafusco
16366,_francescafusco
16384,_francescafusco
9299,01SPREa
10342,01SPREa
16459,01SPREa
429,03forza
290,2_Ainfo_
15745,2_Ainfo_
15746,2_Ainfo_
15747,2_Ainfo_
15748,2_Ainfo_
15749,2_Ainfo_
15750,2_Ainfo_
15751,2_Ainfo_
15752,2_Ainfo_
15753,2_Ainfo_
15754,2_Ainfo_
15755,2_Ainfo_
15756,2_Ainfo_
15757,2_Ainfo_
15758,2_Ainfo_
15759,2_Ainfo_
15760,2_Ainfo_
15761,2_Ainfo_
15762,2_Ainfo_
15763,2_Ainfo_
15764,2_Ainfo_
15765,2_Ainfo_
15766,2_Ainfo_
15767,2_Ainfo_
15768,2_Ainfo_
15769,2_Ainfo_
15770,2_Ainfo_
15771,2_Ainfo_
15772,2_Ainfo_
15773,2_Ainfo_
15774,2_Ainfo_
15775,2_Ainfo_
15776,2_Ainfo_
15777,2_Ainfo_
15834,2_Ainfo_
17847,2_Ainfo_
17848,2_Ainfo_
17849,2_Ainfo_
17850,2_Ainfo_
17851,2_Ainfo_
19021,2_Ainfo_
82,2016aspinelli
83,2016aspinelli
84,2016aspinelli
420,2016aspinelli
7654,2016aspinelli
8997,2016aspinelli
8998,2016aspinelli
12944,2016aspinelli
12945,2016aspinelli
17852,2016aspinelli
17853,2016aspinelli
17854,2016aspinelli
17855,2016aspinelli
17856,2016aspinelli
17857,2016aspinelli
17858,2016aspinelli
17859,2016aspinelli
17860,2016aspinelli
17861,2016aspinelli
17862,2016aspinelli
17863,2016aspinelli
18582,2016aspinelli
18583,2016aspinelli
85,2A_BIOPANTALEO
14709,2A_BIOPANTALEO
14710,2A_BIOPANTALEO
86,2ac_fermi
173,2ac_fermi
181,2ac_fermi
679,2ac_fermi
8999,2ac_fermi
14711,2ac_fermi
17864,2ac_fermi
17865,2ac_fermi
17866,2ac_fermi
17867,2ac_fermi
17868,2ac_fermi
17869,2ac_fermi
17870,2ac_fermi
17871,2ac_fermi
17872,2ac_fermi
17873,2ac_fermi
18323,2ac_fermi
18883,2ac_fermi
104,2ALCirillo
17874,2ALCirillo
17875,2ALCirillo
17876,2ALCirillo
87,2AMrinaldini
88,2AMrinaldini
89,2AMrinaldini
90,2AMrinaldini
91,2AMrinaldini
816,2AMrinaldini
817,2AMrinaldini
16203,2ASSDeNicola
92,2ATbertarelli
93,2ATbertarelli
94,2ATbertarelli
95,2ATbertarelli
96,2ATbertarelli
97,2ATbertarelli
98,2ATbertarelli
1253,2ATbertarelli
1254,2ATbertarelli
1255,2ATbertarelli
1256,2ATbertarelli
1257,2ATbertarelli
6977,2ATbertarelli
6978,2ATbertarelli
6979,2ATbertarelli
9000,2ATbertarelli
9688,2ATbertarelli
9689,2ATbertarelli
9690,2ATbertarelli
9691,2ATbertarelli
14712,2ATbertarelli
14713,2ATbertarelli
14714,2ATbertarelli
14715,2ATbertarelli
14716,2ATbertarelli
14717,2ATbertarelli
14718,2ATbertarelli
14719,2ATbertarelli
14720,2ATbertarelli
14721,2ATbertarelli
14722,2ATbertarelli
14723,2ATbertarelli
14724,2ATbertarelli
14725,2ATbertarelli
14726,2ATbertarelli
17877,2ATbertarelli
17878,2ATbertarelli
6980,2aVirgilio
6981,2aVirgilio
13839,2aVirgilio
14727,2aVirgilio
14728,2aVirgilio
18477,2B_Cirillo
99,2B_Cirillo
100,2B_Cirillo
101,2B_Cirillo
102,2B_Cirillo
103,2B_Cirillo
104,2B_Cirillo
105,2B_Cirillo
106,2B_Cirillo
1252,2B_Cirillo
1288,2B_Cirillo
9692,2B_Cirillo
13399,2B_Cirillo
17879,2B_Cirillo
17880,2B_Cirillo
17881,2B_Cirillo
18478,2B_Cirillo
17882,2b_malignani
17883,2b_malignani
17884,2b_malignani
17885,2b_malignani
19117,2b_malignani
14729,2Bafm
14730,2Bafm
17886,2Bafm
2310,2Binf_Can
107,2bitis
785,2bitis
18884,2bitis
18886,2bitis
7525,2BSCirillo
7526,2BSCirillo
7527,2BSCirillo
7528,2BSCirillo
7529,2BSCirillo
7530,2BSCirillo
7531,2BSCirillo
7532,2BSCirillo
7533,2BSCirillo
7534,2BSCirillo
11681,2BSCirillo
12946,2BSCirillo
14330,2BSCirillo
12947,2BSUAlMoro
12948,2BSUAlMoro
14731,2BSUAlMoro
14732,2BSUAlMoro
14733,2BSUAlMoro
17663,2BSUAlMoro
17664,2BSUAlMoro
17887,2BSUAlMoro
15662,2btconti
17747,2btconti
17888,2btconti
108,2C_duni
1572,2C_duni
1573,2C_duni
1574,2C_duni
1575,2C_duni
9693,2C_duni
9694,2C_duni
9695,2C_duni
9780,2C_duni
109,2C_Galilei
110,2C_Galilei
111,2C_Galilei
112,2C_Galilei
113,2C_Galilei
114,2C_Galilei
115,2C_Galilei
116,2C_Galilei
117,2C_Galilei
118,2C_Galilei
119,2C_Galilei
120,2C_Galilei
121,2C_Galilei
122,2C_Galilei
123,2C_Galilei
557,2C_Galilei
789,2C_Galilei
6982,2C_Galilei
6983,2C_Galilei
6984,2C_Galilei
6985,2C_Galilei
6986,2C_Galilei
6987,2C_Galilei
6988,2C_Galilei
6989,2C_Galilei
6990,2C_Galilei
6991,2C_Galilei
6992,2C_Galilei
6993,2C_Galilei
8408,2C_Galilei
9593,2C_Galilei
9665,2C_Galilei
