Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_0,reuse,14,groupB,o alla famigli,1000002___37_49,1000002
cluster_6,reuse,32,groupB,i fame Lucrezia spasimava d amor,1000009___8_35,1000009
cluster_7,reuse,86,groupB,a signore contessa indossò un abito lilla con una ricca fioritura di merletti alla gol,1000011___1_66,1000011
cluster_8,reuse,88,groupB,er quanti sforzi facciamo nel crudele intento di distruggere le illusioni non,1000012___1_62,1000012
cluster_8,reuse,88,groupO2,er quanti sforzi facciamo per distruggere le illusione che la natura ci aveva creat,1000309___1_64,1000309
cluster_8,reuse,88,groupB,er quanti sforzi facciamo nel crudele intento di distruggere le illusioni no,1000774___1_61,1000774
cluster_9,reuse,35,groupB,a terra stanca di girare ma av,1000013___1_24,1000013
cluster_11,reuse,80,groupB,nche oggi crediamo che la luna non stia per altro nel cielo che per farci la lume di nott,1000014___1_65,1000014
cluster_11,reuse,80,groupB,nche noi crediamo che la luna stia nel cielo per farci lume di nott,1000017___1_51,1000017
cluster_12,reuse,52,groupB,sì a poco a poco ho fatto il giusto a siffatte lettur,1000015___1_40,1000015
cluster_14,reuse,25,groupB,veva per noi una tenerezz,1000019___6_28,1000019
cluster_14,reuse,25,groupB,veva per noi una tenerezz,1000023___1_23,1000023
cluster_14,reuse,25,groupB,veva per noi una tenerezza a,1000344___1_25,1000344
cluster_15,reuse,45,groupB,n tempo stesso io mi son una e due e fo due ciò ch e,1000020___1_37,1000020
cluster_15,reuse,45,groupB,n tempo stesso mi son una e due e fo due ciò ch e,1000024___1_35,1000024
cluster_15,reuse,45,groupB,n tempo stesso io son uno e due e fo 2 ciò ch,1000031___40_70,1000031
cluster_17,reuse,30,groupB,ue bellichi a contrapposti sit,1000021___1_25,1000021
cluster_19,reuse,45,groupB,n cuor di donna quanto dura l amore Ed ella non mi amò qu,1000022___1_42,1000022
cluster_19,reuse,45,groupB,n cuor di donna quanto dura amore Ella non mi a,1000030___1_37,1000030
cluster_19,reuse,45,groupB,n cuor di donna quanto dura amore Ella non mi a,1000839___1_37,1000839
cluster_23,reuse,26,groupB,on bocca dalla cinta in su,1000025___1_19,1000025
cluster_25,reuse,24,groupO2,dere in uno sgomento attonit,1000026___22_46,1000026
cluster_26,reuse,24,groupB,ista del mare mi faceva cadere in uno sgamento attonito che diveniva ma,1000041___1_57,1000041
cluster_27,reuse,25,groupO2,ando la terra non girav,1000027___1_20,1000027
cluster_29,reuse,30,groupO2, di essere atomi infinitesimal,1000028___7_34,1000028
cluster_29,reuse,30,groupO2, di essere atomi infinitesimal,1000082___8_35,1000082
cluster_29,reuse,30,groupO2, di essere atomi infinitesimal,1000272___22_49,1000272
cluster_30,reuse,43,groupB,a sua morte quasi improvvisa fu la nostra rovin,1000029___1_40,1000029
cluster_30,reuse,43,groupO1,a sua morte fu la nostra rovin,1000617___1_26,1000617
cluster_30,reuse,43,groupB,a sua morte quasi improvvisa fu la nostra rovin,1000782___1_40,1000782
cluster_33,reuse,32,groupB,arebbe accaduto nulla di grave s,1000032___1_24,1000032
cluster_36,reuse,50,groupB,i sera uscii ancor diretto alla casa d oliv,1000034___1_34,1000034
cluster_38,reuse,59,groupB,minciai a domandarmi come mai Romilda si fosse potuta prest,1000035___14_63,1000035
cluster_40,reuse,88,groupB,alagna arrivò fino a questo non bevve più vino per dare esempio di continenza alla mogli,1000036___1_68,1000036
cluster_41,reuse,92,groupB,a quella labbra neppure un bacio dai denti si qualche morso per castigo quand io la afferrav,1000037___1_68,1000037
cluster_43,reuse,85,groupB, allora che si asciugò gli occhi spiegò il foglio e si mise a interpretar la scrittur,1000039___1_60,1000039
cluster_44,reuse,16,groupB,i fermai innanzi,1000040___12_27,1000040
cluster_48,reuse,48,groupB,nche per la prima volta un brivido nuovo un senso,1000042___12_51,1000042
cluster_49,reuse,48,groupO1, per la prima volt,1000416___7_22,1000416
cluster_53,reuse,16,groupB,ro inetto a tutt,1000043___1_15,1000043
cluster_54,reuse,51,groupB,nquecento lire rimasero tra le pagine di un libraccio e furon,1000044___1_47,1000044
cluster_54,reuse,51,groupO2,nquecento lire servirono a me e furono la cagione della mia PRIMA mort,1000311___6_61,1000311
cluster_56,reuse,51,groupB, furono la cagione della mia prima mort,1000955___9_40,1000955
cluster_57,reuse,45,groupB,l naso adunco fiero nella faccia bruna itteri,1000045___12_47,1000045
cluster_58,reuse,43,groupB,aneamente alla mamma mia nello stesso giorn,1000046___13_50,1000046
cluster_58,reuse,43,groupB,aneamente alla mamma mia nello stesso giorn,1000047___13_50,1000047
cluster_62,reuse,44,groupB,on mancava mai di schizzare questo velen,1000048___1_33,1000048
cluster_63,reuse,18,groupB,e vie erano desert,1000049___18_34,1000049
cluster_66,reuse,26,groupB,à stanco di stare alla bad,1000050___1_20,1000050
cluster_70,reuse,75,groupB,rcavo intanto un albergo qualunque per chiudermi a vedere quanto avevo vint,1000051___1_59,1000051
cluster_72,reuse,87,groupB,ilessi con piglio feroce e col cuore in tumulto non so quante volte quelle poche righ,1000052___1_63,1000052
cluster_74,reuse,46,groupB, e guardai spiritato i miei compagni di viaggio,1000053___16_51,1000053
cluster_76,reuse,32,groupB,ensava e il treno intanto correv,1000054___1_28,1000054
cluster_78,reuse,91,groupB,unque che stavo a far lì seduto M ero buttato di nuovo da me in mezzo a una strada Ci stess,1000055___1_68,1000055
cluster_79,reuse,17,groupB, aria di campagna,1000056___1_14,1000056
cluster_81,reuse,79,groupB,pri gli occhi e rimasi un pezzo accigliato a contemplarlo nella palma della man,1000057___1_61,1000057
cluster_82,reuse,62,groupB,edrai com essa t apparirà curiosa ora a guardarlo così di fuor,1000058___1_47,1000058
cluster_83,reuse,101,groupB,e non che a un certo punto mi cadde lo sguardo su l anellino di fede che mi stringeva ancora l anular,1000059___1_75,1000059
cluster_87,reuse,69,groupB,olo ormai e più solo di com ero io non avrei potuto essere su la terr,1000060___1_54,1000060
cluster_87,reuse,69,groupB,o solo ormai e più solo di com ero non avrei potuto essere su la terr,1000865___2_55,1000865
cluster_89,reuse,81,groupB,el presente d ogni legame e d ogni obbligo libero e assolutamente padrone di m,1000061___1_59,1000061
cluster_92,reuse,82,groupB,vrò cura di questa mia libertà me la condurrò a spasso per vie piane e sempre nuov,1000062___1_61,1000062
cluster_93,reuse,82,groupO2,i questa mia liber,1000253___61_75,1000253
cluster_93,reuse,82,groupO2,i questa mia liber,1000290___43_57,1000290
cluster_93,reuse,82,groupB,i questa mia liber,1000823___51_65,1000823
cluster_94,reuse,56,groupB,revedevo di non poter più avere una casa mia oggetti mie,1000063___1_44,1000063
cluster_97,reuse,102,groupB,a la verità forse era questa che nella mia libertà sconfinata mi riusciva difficile cominciare a viver,1000064___1_78,1000064
cluster_99,reuse,102,groupO2,ella mia libertà sconfinata mi riusciva difficile viv,1000129___1_43,1000129
