ID,Group,Text
1003597,groupB,perdonami perdonami per amarti e di avertelo lasciato capire romeo e giulietta shakespeare
1010305,groupB,si sa che gl'infelici facilmente diventano superstiziosi per quanto poi deridano l'altrui crudelità
1003939,groupB,ma il treno dei desideri nei miei pensieri all'incontrario va adriano celentano
1007423,groupB,lo stato in cui si trova la biblioteca rispecchia la condizione di indifferenza e confusione dei cittadini del comune
1003156,groupO1,nessun maggior dolore che ricordarsi del tempo felicenella miseria
1009970,groupB,la natura è impassibile nei confronti dell'uomo mentre il progresso influenza la sua felicità
1009404,groupB,sono una trottolina che gira senza sapere dove andare
1003411,groupB,questione di istinti primordiali
1003264,groupO1,e dimentichiamo spesso di essere così insignificanti in un universo così infinito
1000886,groupO1,mattia il vincitore di 82mila lire beato te
1000170,groupO2,però ero sconsolato anch'io
1003215,groupO2,chiara mattias come amleto
1005784,groupB,mattia incomincia a rinsavire dall'ebbrezza data dalla libertà e si interroga sulla sua stessa vita vivere
1010139,groupB,non possiamo comprendere la vita se in qualche modo non ci spieghiamo la morte
1010045,groupB,una vita finta piena di menzogne e senza libertà è giunta l'ora di vivere di togliere quella maschera
1013274,groupO1,un'uomo con fame di soldi vuole sposare adriana.mm
1011781,groupB,la terra è una piccola trottolina che gira senza raggiungere mai una meta
1007753,groupO2,litigi e morti in famiglia
1002578,groupB,il mondo una foglia appesa all'albero dell'universo fabrizio cramagna benedetto copernico
1011040,groupO2,una delle poche cose anzi forse la sola ch'io sapessi di certo era questa che mi chiamavo mattia pascal
1013400,groupO1,ormai noi tutti ci siamo a poco a poco adattati alla nuova concezione dell'infinita nostra piccolezza f
1004025,groupB,paleari quest'uomo che vaneggia e ciabatta sarebbe da imitare più spesso
1006246,groupB,nel lutto familiare e nel declino economico mattia finalmente libera il suo occhio dal martirio degli occhiali
1000226,groupB,ah mattí io tutti quei cash non li racimolo manco giocando al monopoli
1001255,groupA,tu sei colui che ti si crede
1006543,groupB,l'ultima prova evidente del passato di adriano viene fatta fuori l'occhi ribelle viene rimesso in riga
1011901,groupB,adoro
1013588,groupB,gli oggetti pur nella loro immobilità ci raccontano il passato che riaffiora attraverso gli odori
1009579,groupA,io sono ancora vivo per la morte e morto per la vita
1008962,groupO2,la mia terza ultima e definitiva morte
1000139,groupO2,e allora io esisto
1004245,groupB,la vedova pescatore quando sente il nome non apre la porta lo fà pomino che apre di scatto ma subito si ritrae
1005061,groupB,se copernico non si fosse ubriacato forse l'umanità si sarebbe salvata
1002237,groupB,com'altro è il giorno altro la notte così forse una cosa siamo noi di giorno altra di notte
1013365,groupO1,la reazione della natura davanti alla vista di romilda
1009275,groupO1,mattia cercando di fuggire da quella realtà finge di suicidarsi blondy
1007059,groupO2,l'uomo si distrae facilmente
1004311,groupB,mattia pascal l'unico uomo che si fa bullizzare anche dai fantasmi
1014015,groupB,una vita altrui
1011500,groupO2,io già parlavo da un pezzo con la mano d'adriana e non pensavo ahimè non pensavo più a nulla
1007900,groupO2,attenzione il gioco d'azzardo causa dipendenza
1007432,groupB,noi esseri umani siamo dei piccoli e insignificanti atomi che valgono meno di niente nell'universo
1002685,groupB,questo capitolo era un po fuori dal contesto della trama quindi il pensiero al'uomo suicida alla stia mi ha stupito
1003439,groupB,dfm92 come una cieca s'era abbandonata alla guida del marito rimastane senza si sentì sperduta nel mondo
1013291,groupO1,nel mezzo del cammin della mia vita mi trovai in un vagone oscuro a cercar una nuova identità dantedocet dantepascal
1002406,groupO1,hai bisogno della luce solo quando si sta spegnendoti manca il sole solo quando inizia a nevicare passengerlethergo
1002806,groupB,provo angoscia poichè a breve distanza sono morte le figlie e la madre mattia mi fa davvero pena
1004491,groupB,sono morto già due voltese morissi altre sei volte saresti un nuovo personaggio di the vampire diaries
1009045,groupA,in questo mio buio non desideravo altro che la consolazione di adriana tanto vicina ma così lontana da me
1004163,groupB,adriano meis sceglie roma come città dove vivere una stanzetta in affitto e poco altro
1011637,groupB,non tutti hanno il coraggio di ribellarsi per alcuni l'unico modo per farlo è andarsene
1008582,groupB,l'uomo invece ha il triste privilegio di sentirsi vivere
1005665,groupA,due estranei eravamo io e la vita lei non mi apparteneva ed io non ne facevo più parte
1000380,groupO1,adriano si sente in trappola nella gabbia della libertà
1003364,groupB,il semplice sfiorarsi rimedia a lunghi e spesso strazianti silenzi
1000975,groupB,non vedo l'ora di conoscere meglio adriana
1001787,groupO1,un po curioso terenzio
1004353,groupB,di questi tempi la fuga è l'unico mezzo per continuare a sognare jim morrison
1013020,groupB,una talpa in casa perchè non chiamate la disinfestazione
1007076,groupB,oh mattia sei tu mattia pascal si sono io colui che è già morto due volte
1007651,groupO1,mattia dopo l'operazione ha bisogno di essere confortato ma solo da adriana si sente in una prigionia ceca
1003224,groupO2,martina1 diroma parlare per capire alcuni aspetti negativi della realtà
1008080,groupA,maledettosiaamleto copernico ci ha dato la consapevolezza di essere niente shakespeare ci ha dato quella di essere nessunomc
1003425,groupB,vero è che la luce del giorno ha lo spietato potere di soffiar via le follie la sete di fuga la magia della notte
1014155,groupO2,si sa che gl'infelici facilmente diventano superstiziosi
