ID,Group,Text
1011964,groupB,in questo momento siamo vicini a mattia è un punto molto serio della storia la vita non gli sta risparmiando nien
1008246,groupA,assurdità reali o realtà assurde la vita e la fantasia viaggiano a bordo della stessa barchetta
1004679,groupB,come mi ero illuso che potesse vivere un tronco reciso dalle sue radici
1013065,groupB,libertà libertà mormoravo ma pure non sarebbe lo stesso anche altrove
1006535,groupB,eroe non potevo più esser davverotimor d'esser reale avevoatto valenteper inespressione morente
1006246,groupB,nel lutto familiare e nel declino economico mattia finalmente libera il suo occhio dal martirio degli occhiali
1007053,groupO1,l'uomo è un groviglio incomprensibile di fila in cui a guardar bene l'io resta fievole illusione
1006867,groupO1,le assurdità della vita non hanno bisogno di parer verosimili perchè sono vere
1000643,groupB,il destino mescola le carte e noi giochiamo
1009629,groupA,noi abbiamo bisogno d'incolpar sempre qualcuno dei nostri danni e delle nostre sciagure
1001271,groupO1,chanceil nuovo aspetto di mattia
1008755,groupO2,messere di grazia credo di non capire il suo disappunto
1001643,groupO1,lipogramma senza l'utilizzo della abj
1013820,groupB,consapevolezza di non essere identità
1008077,groupA,isteriosa d versa identità dipa cal
1011396,groupO2,prima ancora che nel magico palazzo di orlandopazzo io mi son già persa tra figli matrimoni e intrighi dei primi capitoli di
1009962,groupB,puoi essere libero da debiti puoi vivere in libertà ma senza gli amici e la famiglia hai
1012942,groupB,la sua morte quasi improvvisa fu la nostra rovina
1003198,groupO1,nessun maggior dolore che ricordarsi del tempo felicenella miseria
1014095,groupO1,me ne sarei andato via da quella casa in cui mi ero fatto quasi il nido
1000691,groupO2,dunque chi sono io per voi
1009020,groupA,di notte sogniamo di giorno non agiamo mattia m
1000184,groupO2,vi guardo col mio occhio ma quello ballerino
1010580,groupO1,il fuggire mentre tutto fugge
1000008,groupB,sarebbe bello cambiare identita per un'altra vita ma poisi rimane ingabbiati in se stessi
1010182,groupB,per l'umidità le legature dè due volumi si erano fraternamente appiccicate
1013700,groupB,ridere delle proprie disgrazie serve per sopravvivere ed è tipico degli uomini del meridione isc93
1006393,groupB,avaj avut la felic idej d'acchiars na mgghier tropp buen p nu pauridd com a jid
1005573,groupO1,invisibile granello di sabbia è la terra nell'immensità dell'universo che gira monotona e incurante dell'umanità
1014178,groupO1,a volte è meglio cambiare identità per iniziare una vita migliore c
1009174,groupO1,copernico con la sua scoperta fa si che l'uomo cambi la sua realtà una realtà dall'aspetto negativo
1010245,groupB,mostruoso arrogante logorroicoantipaticogobbonarcisistaangosciante
1003329,groupB,le anime hanno un loro particolare modo d'intendersi d'entrare in intimità fino a darsi del tu
1007689,groupO1,un animo grigio in fuga da una morte nera alla ricerca di una bianca luce
1005760,groupB,la condizione per essere libero è perdere l identità un rinunciare a vivere
1007233,groupB,ciascuno si racconcia la maschera esteriore come può.perchè dentro c'è l'altra che non si accorda con quella fuori
1012506,groupO2,un labirinto di inganni
1011921,groupO2,in fa subito il suo ingresso la grande protagonista del romanzo siciliano da verga a pirandello la famiglia
1009679,groupA,chiara
1000406,groupO1,date un paio di occhiali a quelle due
1005892,groupB,ero già stanco di stare alla bada della fortuna la dea capricciosa dovea pur passar per la mia strada e passò
1012121,groupA,io cercai al bujo le mani d'adriana ch'era fredda e tremante proprio come la canzone di de gregori
1006934,groupO1,l'importanza del caso e il potere della sorte sottolineano i limiti della volontà e della ragione
1006185,groupB,l'assenza del timoniere porta la nave alla deriva
1001442,groupB,addolorato dal lutto della madre e della seconda ed ultima figlia mattia vaga per il paese solo e
1005492,groupO1,la natura come indifferente di fronte all'uomo e alla sua piccolezza.dante:natura come nemica visioni negative su di essa
1005036,groupB,non basta essere fortunati bisogna avere anche la fortuna di rendersene conto
1006847,groupO1,la religone è l'oppio del popolo karl marx non riusciremmo a dare un senso alla nostra miserabile vita senza di essa
1009288,groupO1,mattia è ritornato alla sua vera identità anche se per strada nessuno si ricordava più di lui
1013893,groupO1,sei il prototipo dell'inetto senza offesa imbrogli a tuo sfavore
1007144,groupB,chi ero io nessuno non esistevo io per la legge e chiunque ormai poteva derubarmi e io zitto
1006579,groupB,le mani di mattia non toccarono adriana ma le trasmisero qualcosa
1001181,groupO1,dopo essere cacciato di casa diventi un bibliotecario mi sorprendi mattia ric
1012999,groupB,pensandoci mattia potrebbe derivare dall'aggettivo matto
1012145,groupO1,non volli immaginarmi una nuova mamma mi sarebbe parso di profanar la memoria viva e dolorosa della mia mamma vera
1001038,groupO1,pinzone più furbo che stupidone
1006575,groupO2,non puoi correggere un errore con un altro errore
1004823,groupO1,le tre vite di mattia non fanno una trinità
1003772,groupO1,ero pieno di salute e mi bastava critico del suo aspetto estetico
