ID,Group,Text,Category
1013168,groupB,non aveva più nulla lui da dare alla moglie neppure un briciolo di cuore,Reuse
1013416,groupO1,romilda e l'amore per sua mamma,Summary
1011554,groupB,il pensieroso ritorno a casa,Summary
1014086,groupA,seconda fase siamo nel vivo,Reader reaction
1008420,groupO2,ma già cominciavo a penetrare il senso e a misurare i confini di questa mia libertà,Reuse
1003952,groupB,ogni cosa ha un suo prezzoe nessuno lo saquanto costa la mia libertà bennato venderó,Intertext
1003835,groupB,ma dopo aver letto capitoli la vera domanda è:sono autorizzata o meno ad utilizzare la j come fa pirandello,Reader reaction
1013496,groupO2,e baci,Reader reaction
1013724,groupO1,la mia sola certezza è essere felice,Reader reaction
1003337,groupB,altrol'ultima seduta spiritica di cui ho avuto notizia non è finita così bene,Reader reaction
1009752,groupA,la piccola mia lampa non come sol risplende nè come incendio fuma saverio,Intertext
1002554,groupB,chi troppo vuole nulla stringe era m p e non gli piaceva era a m e non gli piaceva ora non è nessuno dei due,Reader reaction
1004602,groupB,l'amore è ciò che rende vivi,Generalization
1002613,groupB,grazie a mattia ho appreso quanto sia importante leggere dei libri prima di scriverne uno proprio,Reader reaction
1013493,groupO2,siamo così certi dei nostri nomice lo stiamo chiedendo vorremmo approfittare anche noi del nostro nome,Reader reaction
1010814,groupO2,la sua morte quasi improvvisa fu la nostra rovina,Reuse
1011941,groupO2,imagnifici_4bi mattia matto matto matto matto a dir poco via twitter,Reader reaction
1004057,groupB,con la scusa della seduta,Reader reaction
1007559,groupO1,adriano si è suicidato e mattia vuole spiegare questo fatto con varie supposizioni e domande,Summary
1013233,groupO1,e gira e gira e gira senza sapere il perchè e pensare che anche in questo esatto istante stiamo gi,Reader reaction
1005907,groupB,una scena di pioggia e di nebbia segna l'inizio dell'appannarsi della magica gioia per la,Summary
1001375,groupB,mattia non ha una grande passione per i libri ma dopo le due morti decide di creare un suo manoscritto,Summary
1008045,groupA,generosità coraggio o semplicemente amore ed,Reader reaction
1011594,groupB,l'identità si costruisce nel tempo e non si può cambiare completamente,Generalization
1003853,groupB,se non vediamo con gli occhi inziamo a viaggiare con la mente per chi non è abituato a farlo è un viaggio terribile,Generalization
1006923,groupO2,chi era un codardo un ladro gentiluomo chissà quante notizie vere si caveranno da un'esistenza inventata,Reader reaction
1009399,groupB,morto due volte ma solo nell'animo,Interpretation
1002731,groupB,adriano parla di mattia in terza persona definendolo morto questo è sia inquietante che interessante,Reader reaction
1012145,groupO1,non volli immaginarmi una nuova mamma mi sarebbe parso di profanar la memoria viva e dolorosa della mia mamma vera,Reuse
1002832,groupA,la vita è come un'eco se non ti piace quello che ti rimanda devi cambiare il messaggio che i,Generalization
1010245,groupB,mostruoso arrogante logorroicoantipaticogobbonarcisistaangosciante,Reader reaction
1012799,groupO1,mattia assapora la gioia di un nuovo inizio,Summary
1009096,groupA,per tutti l'organo più complesso è il cervello per me è il cuore non c'è logica nei sentimenti,Reader reaction
1008170,groupA,terenzio e la sua doppia identità di giorno papiano di sera max ilfuterenziopapiano,Reader reaction
1003739,groupO1,la prima morte è solo un'utopia,Interpretation
1003370,groupB,la fortuna di mattia è sicuramente un prodotto targato laboratorio acme,Intertext
1013355,groupO1,in cuor di donna quanto dura amore ed ella non mi amò quant'io l'amai,Intertext
1013162,groupB,mattia perchè hai sposato quella donna,Reader reaction
1011597,groupB,l'indebolimento del corpo non comporta anche quello dell'anima,Generalization
1000718,groupO1,l'inutilità dello scrivere libri,Reader reaction
1014161,groupO2,mattia era morto per tutti quindi i parenti del presunto caro estinto potevano sperare nella sua ricomparsa il buon mattia,Summary
1013532,groupO2,mi chiamo mattia pascal,Reuse
1002451,groupO1,m d ma perchè non possiamo comprendere la vita se in qualche modo non ci spieghiamo la morte,Generalization
1009921,groupB,il vantaggio del giocare col fuoco è non scottarsi mai solo coloro che non sanno giocarci si bruciano del tutto,Generalization
1008799,groupO2,mattia ebbe un pesante litigio con la sua famiglia e nel frattempo diventò bibliotecario e padre di due gemelle,Summary
1013253,groupO1,tornare a casa dalla sua famiglia e alla vita di tutti i giorni,Summary
1003833,groupB,credo di aver avvistato max,Reader reaction
1003349,groupB,colui che commette il male peggiore è mascherato da un bell'aspetto e la colpa viene attribuita al più scioperato,Generalization
1009786,groupA,nessuno mi riconosceva perchè nessuno pensava più a me,Reuse
1002429,groupO1,nessun maggior dolore che ricordarsi del tempo felice nella miseria m.d,Reuse
1006315,groupA,e così dal nulla durante una seduta spiritica uno smack ne è valsa la pena,Reader reaction
1000533,groupA,che cosa si saran detto in quel lungo discorso le vostre mani ed,Reader reaction
1014011,groupB,trovare una strada,Summary
1012826,groupO1,mattia non torna a casa e rincomincia la vita in un altro paese con un altra famiglia,Summary
1014131,groupB,la più grande ricchezza da noi posseduta è il senso di umanità,Generalization
1007387,groupB,mattia e le sue tre vite e noi di quante vite abbiamo bisogno per essere migliori,Reader reaction
1007668,groupO1,ormai mattia non ce la fa più e decide di tornare indietro facendo sembrare la sua fuga in un suicidi d,Summary
1008589,groupB,mattia cerca di convincere pomino a sposare romilda ma alla fine lei si innamorò di mattia,Summary
1004269,groupB,lunapop cesarecremonini,Intertext
1012386,groupO2,un uomo è il proprio nome la propria lingua la propria fede tempi e toni diversi per un comune sentire mistraltw latregua,Reader reaction
1011482,groupO2,nella sofferenza l'uomo diventa egoista e cattivo,Generalization
1001442,groupB,addolorato dal lutto della madre e della seconda ed ultima figlia mattia vaga per il paese solo e,Summary
1009331,groupO1,nonostante la buona azione mattia non vuole considerarsi un eroe per il timore di comparire negli articoli di cronaca,Summary
1007573,groupO1,dopo la lite mattia si trova sul ponte decide di far credere di essersi suicidato lasciando sul ponte le sue credenziali,Summary
1000439,groupO2,ce lo ricordiamo vero,Reader reaction
1000519,groupO1,i miracoli avvengono,Reader reaction
1012138,groupO1,il vulcano,Reader reaction
1012270,groupO1,l'ambivalenza dell'uomo bestia che uccide e genio che crea,Interpretation
1003002,groupB,malagna è un pusillanime mascalzone,Reader reaction
1011498,groupO2,ecco la vita,Reader reaction
1001628,groupO1,la fede comincia appunto là dove la ragione finisce ec,Generalization
1013420,groupO2,io son colui che mi si crede,Interpretation
1008116,groupO2,libero ho chiuso troppe porte per poter tornare a essere libero,Interpretation
1009688,groupA,chi non ha documenti se mai ti venisse in mente di farlo non può fare un duello per difendere il proprio onore francesco,Interpretation
1003344,groupB,caro mattia tutte le strade portano a roma tuttelestradeportanoaroma,Intertext
1013790,groupO2,dove eravamo rimasti perchè lunedì si ricomincia con,Reader reaction
1007090,groupO1,e un amico è qualcuno che se non c'è è perchè io mentire so di me,Intertext
1005360,groupB,poco a poco guardando la febbre del giuoco prese anche me la prof,Reader reaction
1008210,groupA,sentirete,Reader reaction
1008746,groupO2,la morte la trasformazione dal bene al male dal buono al cattivo la sintesi della vita di pascal o meglio di adriano,Interpretation
1006174,groupB,mattia pascal comincia a costruire la sua nuova identità nel tentativo di diventare adri,Interpretation
1007011,groupO1,in punta di piedi entrò in casa mia e sembrò tutto un'utopia il vuoto immenso sentivo ma nel contempo fuggivo,Reader reaction
1007052,groupO1,fui libero e da allora unico artefice del destino mio una nuova identità crebbi ma esistere in realtà non potei,Interpretation
1012422,groupO2,libero pensavo di esserlo ma già mi imbattevo nei confini della mia falsa identità,Reuse
1005143,groupA,libero dicevo ancora ma già cominciavo a penetrare il senso e a misurare i confini di questa mia libertà,Reuse
1001234,groupO1,adriano in trappola,Summary
1007204,groupO1,la vita ci trascina con la sua foga è impossibile sottrarsi ai sentimenti,Generalization
1003249,groupO1,homo faber fortunae suae,Intertext
1004087,groupB,mattia adesso ha una nuova consapevolezza esiste ancora ma non vive più,Interpretation
1011631,groupB,noi siamo come un fiume che scorre lungo gli argini della vita,Generalization
