ID,Group,Text,Category
1003597,groupB,perdonami perdonami per amarti e di avertelo lasciato capire romeo e giulietta shakespeare,Intertext
1010305,groupB,si sa che gl'infelici facilmente diventano superstiziosi per quanto poi deridano l'altrui crudelità,Reuse
1003939,groupB,ma il treno dei desideri nei miei pensieri all'incontrario va adriano celentano,Intertext
1007423,groupB,lo stato in cui si trova la biblioteca rispecchia la condizione di indifferenza e confusione dei cittadini del comune,Interpretation
1003156,groupO1,nessun maggior dolore che ricordarsi del tempo felicenella miseria,Intertext
1009970,groupB,la natura è impassibile nei confronti dell'uomo mentre il progresso influenza la sua felicità,Generalization
1009404,groupB,sono una trottolina che gira senza sapere dove andare,Reuse
1003411,groupB,questione di istinti primordiali,Interpretation
1003264,groupO1,e dimentichiamo spesso di essere così insignificanti in un universo così infinito,Generalization
1000886,groupO1,mattia il vincitore di 82mila lire beato te,Reader reaction
1000170,groupO2,però ero sconsolato anch'io,Reader reaction
1003215,groupO2,chiara mattias come amleto,Intertext
1005784,groupB,mattia incomincia a rinsavire dall'ebbrezza data dalla libertà e si interroga sulla sua stessa vita vivere,Interpretation
1010139,groupB,non possiamo comprendere la vita se in qualche modo non ci spieghiamo la morte,Generalization
1010045,groupB,una vita finta piena di menzogne e senza libertà è giunta l'ora di vivere di togliere quella maschera,Interpretation
1013274,groupO1,un'uomo con fame di soldi vuole sposare adriana.mm,Summary
1011781,groupB,la terra è una piccola trottolina che gira senza raggiungere mai una meta,Reuse
1007753,groupO2,litigi e morti in famiglia,Summary
1002578,groupB,il mondo una foglia appesa all'albero dell'universo fabrizio cramagna benedetto copernico,Generalization
1011040,groupO2,una delle poche cose anzi forse la sola ch'io sapessi di certo era questa che mi chiamavo mattia pascal,Reuse
1013400,groupO1,ormai noi tutti ci siamo a poco a poco adattati alla nuova concezione dell'infinita nostra piccolezza f,Reuse
1004025,groupB,paleari quest'uomo che vaneggia e ciabatta sarebbe da imitare più spesso,Reader reaction
1006246,groupB,nel lutto familiare e nel declino economico mattia finalmente libera il suo occhio dal martirio degli occhiali,Summary
1000226,groupB,ah mattí io tutti quei cash non li racimolo manco giocando al monopoli,Reader reaction
1001255,groupA,tu sei colui che ti si crede,Generalization
1006543,groupB,l'ultima prova evidente del passato di adriano viene fatta fuori l'occhi ribelle viene rimesso in riga,Summary
1011901,groupB,adoro,Reader reaction
1013588,groupB,gli oggetti pur nella loro immobilità ci raccontano il passato che riaffiora attraverso gli odori,Generalization
1009579,groupA,io sono ancora vivo per la morte e morto per la vita,Interpretation
1008962,groupO2,la mia terza ultima e definitiva morte,Reuse
1000139,groupO2,e allora io esisto,Interpretation
1004245,groupB,la vedova pescatore quando sente il nome non apre la porta lo fà pomino che apre di scatto ma subito si ritrae,Summary
1005061,groupB,se copernico non si fosse ubriacato forse l'umanità si sarebbe salvata,Interpretation
1002237,groupB,com'altro è il giorno altro la notte così forse una cosa siamo noi di giorno altra di notte,Reuse
1013365,groupO1,la reazione della natura davanti alla vista di romilda,Summary
1009275,groupO1,mattia cercando di fuggire da quella realtà finge di suicidarsi blondy,Summary
1007059,groupO2,l'uomo si distrae facilmente,Generalization
1004311,groupB,mattia pascal l'unico uomo che si fa bullizzare anche dai fantasmi,Reader reaction
1014015,groupB,una vita altrui,Reuse
1011500,groupO2,io già parlavo da un pezzo con la mano d'adriana e non pensavo ahimè non pensavo più a nulla,Reuse
1007900,groupO2,attenzione il gioco d'azzardo causa dipendenza,Generalization
1007432,groupB,noi esseri umani siamo dei piccoli e insignificanti atomi che valgono meno di niente nell'universo,Reuse
1002685,groupB,questo capitolo era un po fuori dal contesto della trama quindi il pensiero al'uomo suicida alla stia mi ha stupito,Reader reaction
1003439,groupB,dfm92 come una cieca s'era abbandonata alla guida del marito rimastane senza si sentì sperduta nel mondo,Reuse
1013291,groupO1,nel mezzo del cammin della mia vita mi trovai in un vagone oscuro a cercar una nuova identità dantedocet dantepascal,Intertext
1002406,groupO1,hai bisogno della luce solo quando si sta spegnendoti manca il sole solo quando inizia a nevicare passengerlethergo,Intertext
1002806,groupB,provo angoscia poichè a breve distanza sono morte le figlie e la madre mattia mi fa davvero pena,Reader reaction
1004491,groupB,sono morto già due voltese morissi altre sei volte saresti un nuovo personaggio di the vampire diaries,Intertext
1009045,groupA,in questo mio buio non desideravo altro che la consolazione di adriana tanto vicina ma così lontana da me,Reuse
1004163,groupB,adriano meis sceglie roma come città dove vivere una stanzetta in affitto e poco altro,Summary
1011637,groupB,non tutti hanno il coraggio di ribellarsi per alcuni l'unico modo per farlo è andarsene,Generalization
1008582,groupB,l'uomo invece ha il triste privilegio di sentirsi vivere,Reuse
1005665,groupA,due estranei eravamo io e la vita lei non mi apparteneva ed io non ne facevo più parte,Reuse
1000380,groupO1,adriano si sente in trappola nella gabbia della libertà,Interpretation
1003364,groupB,il semplice sfiorarsi rimedia a lunghi e spesso strazianti silenzi,Generalization
1000975,groupB,non vedo l'ora di conoscere meglio adriana,Reader reaction
1001787,groupO1,un po curioso terenzio,Reader reaction
1004353,groupB,di questi tempi la fuga è l'unico mezzo per continuare a sognare jim morrison,Intertext
1013020,groupB,una talpa in casa perchè non chiamate la disinfestazione,Reader reaction
1007076,groupB,oh mattia sei tu mattia pascal si sono io colui che è già morto due volte,Summary
1007651,groupO1,mattia dopo l'operazione ha bisogno di essere confortato ma solo da adriana si sente in una prigionia ceca,Summary
1003224,groupO2,martina1 diroma parlare per capire alcuni aspetti negativi della realtà,Generalization
1008080,groupA,maledettosiaamleto copernico ci ha dato la consapevolezza di essere niente shakespeare ci ha dato quella di essere nessunomc,Intertext
1003425,groupB,vero è che la luce del giorno ha lo spietato potere di soffiar via le follie la sete di fuga la magia della notte,Generalization
1014155,groupO2,si sa che gl'infelici facilmente diventano superstiziosi,Reuse
1011219,groupO2,proprio perchè il mondo è un teatro signora mia e dunque si è protagonisti di un'unica grande tragicomica pupazzat,Generalization
1002653,groupB,duninforma il violento malagna rende la donna oggetto come macchina atta a procreare,Interpretation
1009630,groupA,noi abbiamo bisogno d'incolpare sempre qualcuno dei nostri danni e delle nostre sciagure,Generalization
1003090,groupA,mi è sembrata una fortuna l'essere creduto morto ebbene son morto davvero sono vivo per la m,Reuse
1000711,groupO1,leggerei questo libro anche solo per i nomi dei personaggi reb,Reader reaction
1004498,groupB,e in questo romanzo non può mancare la classica zia zitellona e bisbetica chissà magari per la fine del libro,Reader reaction
1006452,groupB,tra tutti i cittadini di miragno proprio me dovevano far morire forseèmeglio,Interpretation
1000182,groupO2,questo fatto di avere più identità mi crea un po di confusione lo confesso,Interpretation
1013431,groupA,aprire la finestra sul mondo e accorgersi di non poter vivere,Generalization
1012058,groupO2,mattia è unuomochenonconoscesèstessosprecandoilpatrimoniodelpadrecomesuccedeinquestiultimiannitranoigiovani,Interpretation
1013487,groupO2,fu davvero doloroso rinunciare a lei,Summary
1001300,groupO1,il bacio,Summary
1005796,groupB,libertà libertà ma pure non sarebbe lo stesso anche altrove,Interpretation
1008226,groupA,rimasto basito dopo aver rivisto con i suoi occhi il fratello redivivo,Summary
1005897,groupB,la boule ferma nel suo veloce girare contraddizione simbolica della precaria ed enigmatica,Interpretation
1009330,groupO1,nonostante il suo atto di coraggio mattia è costretto a nascondersi nell'ombra per evitare di finire sui giornali,Summary
1010549,groupB,siamo o non siamo su un invisibile trottolina cui fa da frezza in fil di sole su un granellino di sabbia impazzito,Reuse
1004305,groupB,pomino fatti due domande se sei l'unico single sono sposati addirittura mattia e malagna di una bellezza devastante,Reader reaction
1010895,groupO2,mi levai stirai le braccia e trassi un lunghossimo respiro di sollievo,Reuse
1002864,groupA,adriano meis si rese conto che conducendo una vita misteriosa e silenziosa aumentava la curiosità degli altri,Summary
1009018,groupA,darei tutti i miei giorni per un unico ieri,Interpretation
1013353,groupO1,tanto se dritto quest'occhionon m'avrebbe fatto bello ero pieno di salute e mibastava,Reuse
1001761,groupO1,perchè allontanarsi dai problemi altrui senza intendersene giustificandosi dicendo il proprio nome,Interpretation
1002909,groupA,ecco la nostra piccola cagnetta minerva,Summary
1003451,groupB,vivrò con me e di me come ho vissuto finora,Reuse
1009959,groupB,una libertà violata cambia la vita,Generalization
1003210,groupO2,mattia mancato duello il biglietto salvifico menzogna giada,Summary
1006685,groupO2,mentre di sera guardando il fiume mi godo un po di libertà arriva papiano una talpa un'altra cos'altro m'attende,Summary
1008401,groupO2,chi vorrebbe una zia bisbetica come la zia scolastica di mattia pascal,Reader reaction
1007001,groupO2,de la richesse la misère mattia reste orphelin avec une mère inepte e il est souiller p,Summary
1006538,groupB,che fatica esser donne gli uomini non ne hanno la minima idea,Generalization
1006312,groupA,alla ricerca dell'identità che non c'è lol,Reader reaction
1005330,groupB,mattia butterai mai quell'anello che ti lega al passato,Reader reaction
1010753,groupO2,se fosse lui il passato ritorna e vi tormenta entrambi,Reader reaction
1002670,groupB,è inquietante il fatto che paleari sia interessato molto più alla morte che alla vita,Reader reaction
