ID,Text,Group,Reuse
1000001,"Che ne dite,  e",groupO1,FALSE
1000003,non si può cambiare identità...essere un' altra  persona determina crisi e confusioni,groupB,FALSE
1000004,"Pascal finge di essere morto, ma la vita riserva sempre sorprese, che stravolgono i nostri piani",groupB,FALSE
1000005,Si vive una sola volta nella vita....,groupB,FALSE
1000006,"Mattia pascal si pente di aver cambiato identità, perchè si vive una volta sola.",groupB,FALSE
1000007,cambia identità deve anche averne la consapevolezza e accettarne le inevitabili conseguenze.,groupB,FALSE
1000008,"sarebbe bello cambiare identita per un'altra vita, ma poisi rimane ingabbiati in se stessi.",groupB,FALSE
1000010,la natura tutto crea tutto distrugge,groupB,FALSE
1000016,Io non vorrei vivere una seconda volta perchè la vita è una sola e va vissuta e accettata così com'è.,groupB,FALSE
1000018,"natura crea e distrugge.E' vero la natura crea illusioni e poi le distrugge, ma noi viviamo di realtà",groupB,FALSE
1000033,sposare un uomo solo per soldi è una cosa davvero brutta,groupB,FALSE
1000038,sposare un uomo per semplice interesse personale è una cosa davvero orribile,groupB,FALSE
1000068,"non avrà a che fare con la burocrazia continuerà a svagarsi, come un bimbo che non pensa a ciò che fa",groupB,FALSE
1000081,BJ,groupO1,FALSE
1000083,"E se parliamo della scrittura di #Pirandello, , ci si schiude davanti un universo stilistico potentissimo.",groupO2,FALSE
1000084,Chi può dirsi libero,groupO2,FALSE
1000085,voi invece fate bene a scrivere ragazzi!!!,groupO2,FALSE
1000087,"Il presente si deteriora, prima in storia, poi in nostalgia.",groupO2,FALSE
1000090,Nuovi lettori si uniscono al nostro percorso!!,groupO2,FALSE
1000091,Abla espanol',groupO2,FALSE
1000096,Allegri tutti!!,groupO2,FALSE
1000098,NA,groupO2,FALSE
1000102,lusingato davvero! C'è un artista in classe!,groupO2,FALSE
1000104,io cerco di essere vero!!! Mi sforzo di avere un'identità credibile... no!,groupO2,FALSE
1000105,ma dite che sia una gara con un vincitore Io pensavo che fosse una gran messinscena!,groupO2,FALSE
1000106,"Segnale orario: 14, 15, 16",groupA,FALSE
1000108,NA,groupO2,FALSE
1000109,lo spero anch'io...,groupO2,FALSE
1000110,Ditelo a me!!!,groupO2,FALSE
1000111,lo spero anch'io...,groupO2,FALSE
1000112,e bravo Pirandello!!! E noi sue marionette ringraziamo!,groupO2,FALSE
1000113,"forse poco romantico, ma nulla di più intrigante... il pensiero ora acuisce in me nostalgia di quella non-vita",groupO2,FALSE
1000114,già... e temo la via d'uscita che dovrò prendere...,groupO2,FALSE
1000115,Ditemelo voi... per quel che mi riguarda direi proprio di no!!! Che il bello sia questo,groupO2,FALSE
1000116,NA,groupO2,FALSE
1000117,forse in una libertà costretta ad essere solitaria...,groupO2,FALSE
1000118,Non credere che gli uomini fossero kolto diversi da oggi...,groupO2,FALSE
1000119,"Non credere che gli uomini fossero molto diversi da oggi... con i loro vizi, le loro debolezze.",groupO2,FALSE
1000120,"Non saprei dirti con precisione, in preda al mio dolore e sconforto non le prestai molta attenzione",groupO2,FALSE
1000121,"Non saprei dirti con precisione, in preda al mio dolore e sconforto non le prestai molta attenzione   ¢",groupO2,FALSE
1000123,o come un malandrino!,groupO2,FALSE
1000124,un po' troppo per i miei gusti!!!,groupO2,FALSE
1000125,in un certo senso... la vita è una gran pupazzata! (Dice il mio creatore),groupO2,FALSE
1000126,Mattia Pascal: l'attore di una buffa tragedia,groupO2,FALSE
1000127,"poi, come dire... me ne accorsi...",groupO2,FALSE
1000128,da me O da    Chi può dire chi io sia,groupO2,FALSE
1000130,NA,groupB,FALSE
1000135,NA,groupO2,FALSE
1000136,"che diavolo, Batta Malagna ha rubato una c del mio arricchimento!!!",groupB,FALSE
1000137,2Dch_Can     Malagna rende poveri MalignaLavagna arrichisce,groupB,FALSE
1000138,e allora Io esisto!!,groupO2,FALSE
1000139,e allora Io esisto!!,groupO2,FALSE
1000140,Ma che diritto dovrebbe mai avere Uno che dice di essere morto e che se ne approfit,groupA,FALSE
1000142,Mattia Pascal...la libertà ritrovata...la prigionia dell'amore...per di più di due donne addirittura,groupA,FALSE
1000143,"Oramai non basta più la nostra coscienza a farci paura nel buio, ci si devono metter",groupA,FALSE
1000144,Ma scusami c'è gente che pagherebbe per essere ancora viva e tu ti lamenti,groupA,FALSE
1000148,dopo la morte,groupO2,FALSE
1000149,dopo la morte,groupO2,FALSE
1000150,NA,groupO2,FALSE
1000153,"io speravo, ricostruendola dopo averne vissuta una, di saperli evitare gli ostacoli... mi sono illuso, vero",groupO2,FALSE
1000154,ma è libertà,groupO2,FALSE
1000155,Mannaggia!!!!,groupO2,FALSE
1000156,Mannaggia!!!!  ©,groupO2,FALSE
1000157,"qualcuno diceva che la notte porta consiglio... se poi sia saggio o meno, questo è da vedere!",groupO2,FALSE
